Epoch,Ep_Reward,Ep_Adv_Reward,CM_Reward,CM_Adv_Reward
329.0,0.0,-25.35122557875988,0.0,-25.84726376242887
330.0,0.0,-22.143277551879947,0.0,-25.899792287477098
331.0,0.0,-22.354172361568452,0.0,-25.76366936305023
332.0,0.0,-22.243207012007616,0.0,-25.765822057099168
333.0,0.0,-17.77027693929737,0.0,-25.6856550451388
334.0,0.0,-21.864590853219088,0.0,-25.527533002897236
335.0,0.0,-24.96075703494371,0.0,-25.509755039808116
336.0,0.0,-18.137968492975112,0.0,-25.461631293593992
337.0,0.0,-23.91592678646854,0.0,-25.491872737124453
338.0,0.0,-23.17923692941701,0.0,-25.478224345015374
339.0,0.0,-22.359493139189926,0.0,-25.459721630219168
340.0,0.0,-20.774369175363116,0.0,-25.44131773654291
341.0,0.0,-28.14788702728394,0.0,-25.381932178197477
342.0,0.0,-37.21509495323591,0.0,-25.398266586871422
343.0,0.0,-16.271042085518253,0.0,-25.30675841613408
344.0,0.0,-25.066839038547986,0.0,-25.19224007969745
345.0,0.0,-21.7510976511151,0.0,-25.00196169464078
346.0,0.0,-34.63159391032798,0.0,-25.042403192490223
347.0,0.0,-22.517723897325887,0.0,-25.017005959534572
348.0,0.0,-19.352906519542184,0.0,-25.040994127526034
349.0,0.0,-22.06779247746051,0.0,-25.04998002162462
350.0,0.0,-19.398458946848418,0.0,-25.028592804218114
351.0,0.0,-42.25577357580408,0.0,-25.225865794909325
352.0,0.0,-31.657609264200055,0.0,-25.263168366579894
353.0,0.0,-23.3586804777886,0.0,-25.298286446387824
354.0,0.0,-24.959783433456444,0.0,-25.384653856122387
355.0,0.0,-21.644651333225617,0.0,-25.344994175554586
356.0,0.0,-24.30916046310263,0.0,-25.360325272038864
357.0,0.0,-29.846754079423718,0.0,-25.353086186988413
358.0,0.0,-41.282650881974725,0.0,-25.404834866798513
359.0,0.0,-22.128688912597656,0.0,-25.336069325489202
360.0,0.0,-25.998149166856543,0.0,-25.386547119512944
361.0,0.0,-27.098464692638345,0.0,-25.307056965830487
362.0,0.0,-32.093330324139686,0.0,-25.440268954508152
363.0,0.0,-24.404434112589165,0.0,-25.315450028139725
364.0,0.0,-18.21744143295896,0.0,-25.248464862641075
365.0,0.0,-45.93974601726367,0.0,-25.44979139797856
366.0,0.0,-21.90865208177958,0.0,-25.403119784037322
367.0,0.0,-22.16449638205139,0.0,-25.239110432953776
368.0,0.0,-17.707837252582692,0.0,-25.201436006188757
369.0,0.0,-24.541812216938474,0.0,-25.206336759356482
370.0,0.0,-20.16103609532668,0.0,-25.220180572679805
371.0,0.0,-15.715797744554532,0.0,-25.062622865992026
372.0,0.0,-18.21005944365517,0.0,-24.997534225577446
373.0,0.0,-21.543264171051774,0.0,-24.898794684304125
374.0,0.0,-28.443244924140654,0.0,-24.822621446886075
375.0,0.0,-44.93086802780567,0.0,-25.041054112542906
376.0,0.0,-16.414049683749415,0.0,-24.906212762896317
377.0,0.0,-16.20388971834829,0.0,-24.71430599161557
378.0,0.0,-21.7323236058442,0.0,-24.71523844852745
379.0,0.0,-20.68562988549528,0.0,-24.688496208015977
380.0,0.0,-31.38203526344095,0.0,-24.80402917594251
381.0,0.0,-23.826617385772362,0.0,-24.86464181336053
382.0,0.0,-26.20487136005694,0.0,-24.83034740477894
383.0,0.0,-21.69767568198317,0.0,-24.888372768242938
384.0,0.0,-20.535256229280186,0.0,-24.771905463338697
385.0,0.0,-28.583528113939455,0.0,-24.859001321792395
386.0,0.0,-16.8236487889214,0.0,-24.812801312711596
387.0,0.0,-24.70716786233181,0.0,-24.861236988332493
388.0,0.0,-20.344005140250832,0.0,-24.678476803155554
389.0,0.0,-23.49266465054803,0.0,-24.664877133223584
390.0,0.0,-21.959690015999527,0.0,-24.661097488414125
391.0,0.0,-22.24826890121342,0.0,-24.659699999092336
392.0,0.0,-23.88746918192853,0.0,-24.674808123941766
393.0,0.0,-27.776413922402334,0.0,-24.705368253775365
394.0,0.0,-28.06899435506967,0.0,-24.722623916060257
395.0,0.0,-23.830230727904897,0.0,-24.721406797326786
396.0,0.0,-27.581445123977012,0.0,-24.73562431746629
397.0,0.0,-24.60265423179906,0.0,-24.789090586165063
398.0,0.0,-32.723566582805624,0.0,-24.9251071561273
399.0,0.0,-27.726147731970336,0.0,-24.979345531919538
400.0,0.0,-34.03743327992706,0.0,-25.129227105943087
401.0,0.0,-30.299859548683024,0.0,-25.189689730100095
402.0,0.0,-22.476851018550928,0.0,-25.23555566435037
403.0,0.0,-31.435163006598565,0.0,-25.310292899779938
404.0,0.0,-29.266127090161397,0.0,-25.294955852303744
405.0,0.0,-16.508943747951896,0.0,-25.261764763530582
406.0,0.0,-24.762143334704067,0.0,-25.196073416181076
407.0,0.0,-34.68921176323546,0.0,-25.134930484952957
408.0,0.0,-20.138569990222777,0.0,-25.11317221287568
409.0,0.0,-34.68706201212844,0.0,-25.242330233491398
410.0,0.0,-31.598390776814067,0.0,-25.127903981454622
411.0,0.0,-23.071814077348204,0.0,-25.13832984607611
412.0,0.0,-29.344162717087272,0.0,-25.227246296223193
413.0,0.0,-25.708579900438227,0.0,-25.280286024437075
414.0,0.0,-26.627453480763418,0.0,-25.377260827024134
415.0,0.0,-26.314413991678073,0.0,-25.316842815470473
416.0,0.0,-23.48567619199001,0.0,-25.191731887425018
417.0,0.0,-24.4332931415195,0.0,-25.1853113295017
418.0,0.0,-27.977562638584725,0.0,-25.178963620329768
419.0,0.0,-29.381814081449004,0.0,-25.274820114034654
420.0,0.0,-19.954686751744386,0.0,-25.158686263463547
421.0,0.0,-20.379481822006824,0.0,-25.074817393938
422.0,0.0,-35.18376225187265,0.0,-25.180609538676222
